,strategy,commission,profit_factor,loss_factor,total_return,return_rate,sharpe,drawdown,volatility,predict_signal,limit_price,predict_take_profit,predict_stop_loss
63,BBANDS,0.0,2.0,1.6,0,0.0,0,0,0,0.0,1296.9,,
64,BBANDS,0.0,2.0,2.1,0,0.0,0,0,0,0.0,1296.9,,
65,BBANDS,0.0,2.0,2.6,0,0.0,0,0,0,0.0,1296.9,,
66,BBANDS,0.0,2.0,3.1,0,0.0,0,0,0,0.0,1296.9,,
67,BBANDS,0.0,2.0,3.6,0,0.0,0,0,0,0.0,1296.9,,
68,BBANDS,0.0,2.0,4.1,0,0.0,0,0,0,0.0,1296.9,,
69,BBANDS,0.0,2.0,4.6,0,0.0,0,0,0,0.0,1296.9,,
70,BBANDS,0.0,2.0,5.1,0,0.0,0,0,0,0.0,1296.9,,
71,BBANDS,0.0,2.0,5.6,0,0.0,0,0,0,0.0,1296.9,,
72,BBANDS,0.0,2.0,6.1,0,0.0,0,0,0,0.0,1296.9,,
73,BBANDS,0.0,2.0,6.6,0,0.0,0,0,0,0.0,1296.9,,
74,BBANDS,0.0,2.0,7.1,0,0.0,0,0,0,0.0,1296.9,,
75,BBANDS,0.0,2.0,7.6,0,0.0,0,0,0,0.0,1296.9,,
76,BBANDS,0.0,2.0,8.1,0,0.0,0,0,0,0.0,1296.9,,
77,BBANDS,0.0,2.0,8.6,0,0.0,0,0,0,0.0,1296.9,,
78,BBANDS,0.0,2.0,9.1,0,0.0,0,0,0,0.0,1296.9,,
79,BBANDS,0.0,2.0,9.6,0,0.0,0,0,0,0.0,1296.9,,
80,BBANDS,0.0,2.5,0.1,0,0.0,0,0,0,0.0,1296.9,,
81,BBANDS,0.0,2.5,0.6,0,0.0,0,0,0,0.0,1296.9,,
82,BBANDS,0.0,2.5,1.1,0,0.0,0,0,0,0.0,1296.9,,
83,BBANDS,0.0,2.5,1.6,0,0.0,0,0,0,0.0,1296.9,,
84,BBANDS,0.0,2.5,2.1,0,0.0,0,0,0,0.0,1296.9,,
85,BBANDS,0.0,2.5,2.6,0,0.0,0,0,0,0.0,1296.9,,
86,BBANDS,0.0,2.5,3.1,0,0.0,0,0,0,0.0,1296.9,,
87,BBANDS,0.0,2.5,3.6,0,0.0,0,0,0,0.0,1296.9,,
88,BBANDS,0.0,2.5,4.1,0,0.0,0,0,0,0.0,1296.9,,
89,BBANDS,0.0,2.5,4.6,0,0.0,0,0,0,0.0,1296.9,,
90,BBANDS,0.0,2.5,5.1,0,0.0,0,0,0,0.0,1296.9,,
91,BBANDS,0.0,2.5,5.6,0,0.0,0,0,0,0.0,1296.9,,
92,BBANDS,0.0,2.5,6.1,0,0.0,0,0,0,0.0,1296.9,,
93,BBANDS,0.0,2.5,6.6,0,0.0,0,0,0,0.0,1296.9,,
94,BBANDS,0.0,2.5,7.1,0,0.0,0,0,0,0.0,1296.9,,
95,BBANDS,0.0,2.5,7.6,0,0.0,0,0,0,0.0,1296.9,,
96,BBANDS,0.0,2.5,8.1,0,0.0,0,0,0,0.0,1296.9,,
97,BBANDS,0.0,2.5,8.6,0,0.0,0,0,0,0.0,1296.9,,
98,BBANDS,0.0,2.5,9.1,0,0.0,0,0,0,0.0,1296.9,,
99,BBANDS,0.0,2.5,9.6,0,0.0,0,0,0,0.0,1296.9,,
100,BBANDS,0.0,3.0,0.1,0,0.0,0,0,0,0.0,1296.9,,
101,BBANDS,0.0,3.0,0.6,0,0.0,0,0,0,0.0,1296.9,,
102,BBANDS,0.0,3.0,1.1,0,0.0,0,0,0,0.0,1296.9,,
103,BBANDS,0.0,3.0,1.6,0,0.0,0,0,0,0.0,1296.9,,
104,BBANDS,0.0,3.0,2.1,0,0.0,0,0,0,0.0,1296.9,,
105,BBANDS,0.0,3.0,2.6,0,0.0,0,0,0,0.0,1296.9,,
106,BBANDS,0.0,3.0,3.1,0,0.0,0,0,0,0.0,1296.9,,
107,BBANDS,0.0,3.0,3.6,0,0.0,0,0,0,0.0,1296.9,,
108,BBANDS,0.0,3.0,4.1,0,0.0,0,0,0,0.0,1296.9,,
109,BBANDS,0.0,3.0,4.6,0,0.0,0,0,0,0.0,1296.9,,
110,BBANDS,0.0,3.0,5.1,0,0.0,0,0,0,0.0,1296.9,,
111,BBANDS,0.0,3.0,5.6,0,0.0,0,0,0,0.0,1296.9,,
112,BBANDS,0.0,3.0,6.1,0,0.0,0,0,0,0.0,1296.9,,
113,BBANDS,0.0,3.0,6.6,0,0.0,0,0,0,0.0,1296.9,,
114,BBANDS,0.0,3.0,7.1,0,0.0,0,0,0,0.0,1296.9,,
115,BBANDS,0.0,3.0,7.6,0,0.0,0,0,0,0.0,1296.9,,
116,BBANDS,0.0,3.0,8.1,0,0.0,0,0,0,0.0,1296.9,,
117,BBANDS,0.0,3.0,8.6,0,0.0,0,0,0,0.0,1296.9,,
118,BBANDS,0.0,3.0,9.1,0,0.0,0,0,0,0.0,1296.9,,
119,BBANDS,0.0,3.0,9.6,0,0.0,0,0,0,0.0,1296.9,,
120,BBANDS,0.0,3.5,0.1,0,0.0,0,0,0,0.0,1296.9,,
121,BBANDS,0.0,3.5,0.6,0,0.0,0,0,0,0.0,1296.9,,
122,BBANDS,0.0,3.5,1.1,0,0.0,0,0,0,0.0,1296.9,,
123,BBANDS,0.0,3.5,1.6,0,0.0,0,0,0,0.0,1296.9,,
124,BBANDS,0.0,3.5,2.1,0,0.0,0,0,0,0.0,1296.9,,
125,BBANDS,0.0,3.5,2.6,0,0.0,0,0,0,0.0,1296.9,,
126,BBANDS,0.0,3.5,3.1,0,0.0,0,0,0,0.0,1296.9,,
127,BBANDS,0.0,3.5,3.6,0,0.0,0,0,0,0.0,1296.9,,
128,BBANDS,0.0,3.5,4.1,0,0.0,0,0,0,0.0,1296.9,,
129,BBANDS,0.0,3.5,4.6,0,0.0,0,0,0,0.0,1296.9,,
130,BBANDS,0.0,3.5,5.1,0,0.0,0,0,0,0.0,1296.9,,
131,BBANDS,0.0,3.5,5.6,0,0.0,0,0,0,0.0,1296.9,,
132,BBANDS,0.0,3.5,6.1,0,0.0,0,0,0,0.0,1296.9,,
133,BBANDS,0.0,3.5,6.6,0,0.0,0,0,0,0.0,1296.9,,
134,BBANDS,0.0,3.5,7.1,0,0.0,0,0,0,0.0,1296.9,,
135,BBANDS,0.0,3.5,7.6,0,0.0,0,0,0,0.0,1296.9,,
136,BBANDS,0.0,3.5,8.1,0,0.0,0,0,0,0.0,1296.9,,
137,BBANDS,0.0,3.5,8.6,0,0.0,0,0,0,0.0,1296.9,,
138,BBANDS,0.0,3.5,9.1,0,0.0,0,0,0,0.0,1296.9,,
139,BBANDS,0.0,3.5,9.6,0,0.0,0,0,0,0.0,1296.9,,
140,BBANDS,0.0,4.0,0.1,0,0.0,0,0,0,0.0,1296.9,,
141,BBANDS,0.0,4.0,0.6,0,0.0,0,0,0,0.0,1296.9,,
142,BBANDS,0.0,4.0,1.1,0,0.0,0,0,0,0.0,1296.9,,
143,BBANDS,0.0,4.0,1.6,0,0.0,0,0,0,0.0,1296.9,,
144,BBANDS,0.0,4.0,2.1,0,0.0,0,0,0,0.0,1296.9,,
145,BBANDS,0.0,4.0,2.6,0,0.0,0,0,0,0.0,1296.9,,
146,BBANDS,0.0,4.0,3.1,0,0.0,0,0,0,0.0,1296.9,,
147,BBANDS,0.0,4.0,3.6,0,0.0,0,0,0,0.0,1296.9,,
148,BBANDS,0.0,4.0,4.1,0,0.0,0,0,0,0.0,1296.9,,
149,BBANDS,0.0,4.0,4.6,0,0.0,0,0,0,0.0,1296.9,,
150,BBANDS,0.0,4.0,5.1,0,0.0,0,0,0,0.0,1296.9,,
151,BBANDS,0.0,4.0,5.6,0,0.0,0,0,0,0.0,1296.9,,
152,BBANDS,0.0,4.0,6.1,0,0.0,0,0,0,0.0,1296.9,,
153,BBANDS,0.0,4.0,6.6,0,0.0,0,0,0,0.0,1296.9,,
154,BBANDS,0.0,4.0,7.1,0,0.0,0,0,0,0.0,1296.9,,
155,BBANDS,0.0,4.0,7.6,0,0.0,0,0,0,0.0,1296.9,,
156,BBANDS,0.0,4.0,8.1,0,0.0,0,0,0,0.0,1296.9,,
157,BBANDS,0.0,4.0,8.6,0,0.0,0,0,0,0.0,1296.9,,
158,BBANDS,0.0,4.0,9.1,0,0.0,0,0,0,0.0,1296.9,,
159,BBANDS,0.0,4.0,9.6,0,0.0,0,0,0,0.0,1296.9,,
160,BBANDS,0.0,4.5,0.1,0,0.0,0,0,0,0.0,1296.9,,
161,BBANDS,0.0,4.5,0.6,0,0.0,0,0,0,0.0,1296.9,,
162,BBANDS,0.0,4.5,1.1,0,0.0,0,0,0,0.0,1296.9,,
163,BBANDS,0.0,4.5,1.6,0,0.0,0,0,0,0.0,1296.9,,
164,BBANDS,0.0,4.5,2.1,0,0.0,0,0,0,0.0,1296.9,,
165,BBANDS,0.0,4.5,2.6,0,0.0,0,0,0,0.0,1296.9,,
166,BBANDS,0.0,4.5,3.1,0,0.0,0,0,0,0.0,1296.9,,
167,BBANDS,0.0,4.5,3.6,0,0.0,0,0,0,0.0,1296.9,,
168,BBANDS,0.0,4.5,4.1,0,0.0,0,0,0,0.0,1296.9,,
169,BBANDS,0.0,4.5,4.6,0,0.0,0,0,0,0.0,1296.9,,
170,BBANDS,0.0,4.5,5.1,0,0.0,0,0,0,0.0,1296.9,,
171,BBANDS,0.0,4.5,5.6,0,0.0,0,0,0,0.0,1296.9,,
172,BBANDS,0.0,4.5,6.1,0,0.0,0,0,0,0.0,1296.9,,
173,BBANDS,0.0,4.5,6.6,0,0.0,0,0,0,0.0,1296.9,,
174,BBANDS,0.0,4.5,7.1,0,0.0,0,0,0,0.0,1296.9,,
175,BBANDS,0.0,4.5,7.6,0,0.0,0,0,0,0.0,1296.9,,
176,BBANDS,0.0,4.5,8.1,0,0.0,0,0,0,0.0,1296.9,,
177,BBANDS,0.0,4.5,8.6,0,0.0,0,0,0,0.0,1296.9,,
178,BBANDS,0.0,4.5,9.1,0,0.0,0,0,0,0.0,1296.9,,
179,BBANDS,0.0,4.5,9.6,0,0.0,0,0,0,0.0,1296.9,,
180,BBANDS,0.0,5.0,0.1,0,0.0,0,0,0,0.0,1296.9,,
181,BBANDS,0.0,5.0,0.6,0,0.0,0,0,0,0.0,1296.9,,
182,BBANDS,0.0,5.0,1.1,0,0.0,0,0,0,0.0,1296.9,,
183,BBANDS,0.0,5.0,1.6,0,0.0,0,0,0,0.0,1296.9,,
184,BBANDS,0.0,5.0,2.1,0,0.0,0,0,0,0.0,1296.9,,
185,BBANDS,0.0,5.0,2.6,0,0.0,0,0,0,0.0,1296.9,,
186,BBANDS,0.0,5.0,3.1,0,0.0,0,0,0,0.0,1296.9,,
187,BBANDS,0.0,5.0,3.6,0,0.0,0,0,0,0.0,1296.9,,
188,BBANDS,0.0,5.0,4.1,0,0.0,0,0,0,0.0,1296.9,,
189,BBANDS,0.0,5.0,4.6,0,0.0,0,0,0,0.0,1296.9,,
